rank,ticker1,ticker2,pair_name,p_value,correlation,spread_window,zscore_window,entry_threshold,exit_threshold,total_return,annual_return,sharpe_ratio,max_drawdown,num_trades,win_rate,final_equity
1,V,CMCSA,V_CMCSA,0.0005439400776881024,0.8789238879256573,30,70,1.0,0.0,0.006088837825873634,0.0016917439622672337,1.6473906514623724,-0.0009049305159060703,21,0.9523809523809523,100608.88378258736
2,MA,PPG,MA_PPG,0.0013845742538280195,0.8497618227658323,30,70,2.0,0.0,0.007828038306311791,0.00217361264716609,1.367931430416861,-0.0006731212372889237,13,0.9230769230769231,100782.80383063118
3,MA,LRCX,MA_LRCX,0.005954616669970422,0.8039875364992308,30,70,1.0,0.0,0.006123366492146306,0.0017013164352945864,1.9287612850419487,-0.0003209380341320112,24,0.875,100612.33664921463
4,TMO,AMD,TMO_AMD,0.009161300854099353,0.9471403322287778,30,70,1.0,0.0,0.01285397836147211,0.0035627524788426346,2.157919225539438,-0.0006349229853305706,29,0.9310344827586207,101285.39783614721
5,SBUX,CMCSA,SBUX_CMCSA,0.00954300050334,0.9415456317312844,30,70,1.0,0.0,0.005974827619309071,0.0016601349289870893,1.9626327668096863,-0.00012886496446109824,25,0.88,100597.4827619309
6,MA,CMCSA,MA_CMCSA,0.008229339982584663,0.8204319664998463,30,70,1.0,0.0,0.00711582755376352,0.001976357761230174,1.4803904567907906,-0.001170865155208563,21,0.9523809523809523,100711.58275537635
7,BKNG,LRCX,BKNG_LRCX,0.004570439670637642,0.8779902956301552,30,50,1.5,0.0,0.07163876034151835,0.01945268020502189,1.3520593007476143,-0.009975338918340822,22,0.7727272727272727,107163.87603415184
8,BKNG,AMAT,BKNG_AMAT,0.006381822332796947,0.8828903881070502,30,70,1.0,0.0,0.027595082420101533,0.007608625663886981,0.654737030930871,-0.008508512410783911,22,0.7272727272727273,102759.50824201015
9,MCD,NVDA,MCD_NVDA,0.007517119008561422,0.8911975617447684,30,50,1.5,0.0,0.0025039252961584135,0.0006965966721446115,1.4986408265742663,-0.0003384161289812049,20,0.8,100250.39252961584
10,UAL,LUV,UAL_LUV,0.0004916997936999693,0.7948501678123022,30,70,1.0,0.0,0.004694110733479901,0.0013048817715102246,1.566767974128332,-0.0004287950515872274,26,0.8846153846153846,100469.41107334799
